rmse,nse,rmse_top10,rmse_bot10,rmse_logged,mean_bias,mean_bias_top10,mean_bias_bot10,nse_top10,nse_bot10,nse_logged,kge,variable,partition,rep_id,model,fold_id,nlayer,nstates
1.665314,0.669654,1.484586,1.656021,inf,-0.188828,-0.735573,0.885343,-3.199111,-3.907941,,0.83638,DO_mg.L,val,0,rnn,8,1,10
0.85593,0.919626,1.017267,0.754878,inf,-0.159104,-0.612972,0.289655,-0.879795,-1.086896,,0.944289,DO_mg.L,train,0,rnn,8,2,10
1.894284,0.572568,2.138612,0.991726,inf,-0.798548,-1.443244,0.253695,-7.71386,-0.760154,,0.782961,DO_mg.L,val,0,rnn,8,2,10
0.979122,0.888566,1.190331,1.04694,inf,0.040528,-0.734883,0.541702,-1.567701,-2.91446,,0.913636,DO_mg.L,train,0,rnn,9,1,10
1.821959,0.645178,2.441698,1.511115,inf,-0.395809,-2.18515,0.41561,-10.215556,-3.866333,,0.80791,DO_mg.L,val,0,rnn,9,1,10
0.841072,0.917774,1.007018,0.995291,inf,0.006765,-0.624857,0.559529,-0.837738,-2.537763,,0.924413,DO_mg.L,train,0,rnn,9,2,10
1.664,0.704035,1.92408,2.007959,inf,-0.02251,-1.746726,1.118919,-5.964391,-7.59244,,0.80533,DO_mg.L,val,0,rnn,9,2,10
0.562348,0.967172,0.534615,0.52559,inf,-0.063605,-0.149182,0.037976,0.492736,-0.213588,,0.98008,DO_mg.L,train,0,rnn,0,1,100
1.553548,0.602733,1.743867,1.799469,inf,-0.209707,-0.509241,0.698286,-13.709327,-1.068119,,0.800919,DO_mg.L,val,0,rnn,0,1,100
0.479874,0.976095,0.444255,0.607752,inf,0.022888,-0.05586,0.204748,0.64972,-0.622665,,0.979961,DO_mg.L,train,0,rnn,0,2,100
1.704032,0.522044,1.873304,1.885605,inf,-0.246762,-0.742998,0.703624,-15.973932,-1.270849,,0.756711,DO_mg.L,val,0,rnn,0,2,100
0.541715,0.966326,0.567081,0.64972,inf,-0.083064,-0.327432,0.063832,0.414677,-0.291325,,0.972301,DO_mg.L,train,0,rnn,1,1,100
1.582008,0.739362,2.304376,1.432616,inf,-0.283833,-1.791071,0.511922,-8.19539,-4.752285,,0.813242,DO_mg.L,val,0,rnn,1,1,100
0.460395,0.975677,0.402131,0.510831,inf,0.094657,-0.020833,0.126321,0.705666,0.201753,,0.981109,DO_mg.L,train,0,rnn,1,2,100
1.668637,0.710036,1.960339,2.262444,inf,-0.04042,-1.460527,1.430993,-5.65466,-13.346182,,0.793191,DO_mg.L,val,0,rnn,1,2,100
0.555525,0.968113,0.567518,0.559158,inf,0.086444,-0.091565,0.172554,0.4316,-0.270741,,0.979127,DO_mg.L,train,0,rnn,2,1,100
1.728505,0.530353,1.877322,2.042585,inf,0.443073,-0.677979,1.450538,-9.679422,-5.224489,,0.773446,DO_mg.L,val,0,rnn,2,1,100
