Depth_m_idx,rmse,nse,rmse_top10,rmse_bot10,rmse_logged,mean_bias,mean_bias_top10,mean_bias_bot10,nse_top10,nse_bot10,nse_logged,kge,variable,partition,rep_id,model
0.0,0.981587,0.681021,1.516861,1.085499,0.120753,0.00792,-1.322375,0.612439,-3.048838,0.127799,0.75226,0.79231,DO_mg.L,train,9,rnn
0.5,0.927734,0.74767,1.695795,1.039864,0.114893,-5.4e-05,-1.406087,0.638249,-3.620977,0.223445,0.804476,0.79695,DO_mg.L,train,9,rnn
1.0,0.892401,0.765322,1.456777,1.035197,0.113411,0.089808,-1.159164,0.657311,-3.379398,0.199144,0.816137,0.812748,DO_mg.L,train,9,rnn
1.5,0.887165,0.766242,1.386922,1.03153,0.114637,0.152457,-1.029637,0.675767,-3.39317,0.202941,0.819292,0.822527,DO_mg.L,train,9,rnn
2.0,0.909266,0.753302,1.341555,1.126184,0.11946,0.201114,-0.976706,0.728393,-3.02224,-0.022901,0.806494,0.823276,DO_mg.L,train,9,rnn
2.5,0.895318,0.767834,1.36528,1.16827,0.119265,0.152522,-0.98777,0.696824,-3.250993,-0.201906,0.814311,0.831315,DO_mg.L,train,9,rnn
3.0,0.910312,0.756373,1.425633,1.168044,0.121229,0.055725,-1.046246,0.598365,-3.153615,-0.335749,0.799385,0.830514,DO_mg.L,train,9,rnn
3.5,0.95237,0.741414,1.33826,1.46129,inf,0.085726,-0.955553,0.774096,-2.992248,-1.259979,,0.824018,DO_mg.L,train,9,rnn
4.0,1.011807,0.728559,1.207147,1.636483,inf,0.179479,-0.778539,0.973164,-3.590145,-1.986069,,0.812227,DO_mg.L,train,9,rnn
4.5,1.092755,0.733501,1.112115,2.015902,inf,0.23211,-0.655966,1.417313,-4.563907,-3.47243,,0.794329,DO_mg.L,train,9,rnn
5.0,1.157408,0.737611,0.93647,2.271069,inf,0.249337,-0.555277,1.622142,-4.299302,-2.835703,,0.787856,DO_mg.L,train,9,rnn
5.5,1.208351,0.747875,1.126621,2.259666,inf,0.235273,-0.755764,1.709954,-9.433991,-2.983925,,0.781529,DO_mg.L,train,9,rnn
6.0,1.331865,0.732357,1.330473,2.589109,inf,0.263018,-0.902118,1.976011,-20.032337,-5.566761,,0.766124,DO_mg.L,train,9,rnn
6.5,1.317449,0.75583,1.254926,2.216897,inf,0.361024,-0.777114,1.629609,-16.687207,-13.895472,,0.801277,DO_mg.L,train,9,rnn
7.0,1.284295,0.783691,0.916197,1.781476,inf,0.432008,-0.522193,1.278208,-6.564952,-1576.813808,,0.820526,DO_mg.L,train,9,rnn
7.5,1.377735,0.759484,0.793034,1.777658,inf,0.434589,-0.445432,1.122889,-3.25211,-21868.701322,,0.817051,DO_mg.L,train,9,rnn
8.0,1.152009,0.838473,0.766907,1.558693,inf,0.210372,-0.461415,0.951501,-2.439534,-3022554.001866,,0.875414,DO_mg.L,train,9,rnn
8.5,1.07348,0.864591,0.904916,,inf,0.158953,-0.495362,,-3.639558,,,0.887711,DO_mg.L,train,9,rnn
9.0,1.00007,0.886801,0.798194,,inf,0.160113,-0.485789,,-3.03924,,,0.891407,DO_mg.L,train,9,rnn
9.5,1.005497,0.889742,0.832878,,inf,0.149048,-0.527794,,-2.840415,,,0.888893,DO_mg.L,train,9,rnn
10.0,1.000147,0.893515,0.839149,,inf,0.124347,-0.562069,,-2.685177,,,0.887408,DO_mg.L,train,9,rnn
