epoch,loss
0,5.270877838134766
1,2.672837257385254
2,2.3637800216674805
3,2.164519786834717
4,2.0143473148345947
5,1.9304063320159912
6,1.8479695320129395
7,1.7415889501571655
8,1.7045249938964844
9,1.643998622894287
10,1.6292165517807007
11,1.612370491027832
12,1.5564223527908325
13,1.5238429307937622
14,1.5047303438186646
15,1.4958882331848145
16,1.4708425998687744
17,1.4353975057601929
18,1.4196892976760864
19,1.3850691318511963
20,1.3877087831497192
21,1.3826087713241577
22,1.3476166725158691
23,1.3350434303283691
24,1.314487338066101
25,1.3249598741531372
26,1.3036836385726929
27,1.302397608757019
28,1.2895678281784058
29,1.2736952304840088
30,1.2756643295288086
31,1.2740117311477661
32,1.2700296640396118
33,1.2692627906799316
34,1.2490917444229126
35,1.2528469562530518
36,1.253365397453308
37,1.244736909866333
38,1.2265795469284058
39,1.230012059211731
40,1.2350988388061523
41,1.2199931144714355
42,1.246635913848877
43,1.2240852117538452
44,1.2279610633850098
45,1.202040195465088
46,1.2077975273132324
47,1.2128558158874512
48,1.2033398151397705
49,1.2124731540679932
50,1.2031649351119995
51,1.1890654563903809
52,1.193930983543396
53,1.20339035987854
54,1.2156140804290771
55,1.2012523412704468
56,1.198036551475525
57,1.171157717704773
58,1.1927247047424316
59,1.1964958906173706
60,1.1851493120193481
61,1.1911492347717285
62,1.1769565343856812
63,1.184863805770874
64,1.1756974458694458
65,1.1752792596817017
66,1.1787956953048706
67,1.1809359788894653
68,1.1719163656234741
69,1.1679933071136475
70,1.1734334230422974
71,1.171676754951477
72,1.1775165796279907
73,1.1780188083648682
74,1.171800136566162
75,1.1591519117355347
76,1.1668895483016968
77,1.1685619354248047
78,1.162797451019287
79,1.1709072589874268
80,1.1590749025344849
81,1.1429048776626587
82,1.1545623540878296
83,1.1824198961257935
84,1.1586986780166626
85,1.1602909564971924
86,1.1751611232757568
87,1.1625992059707642
88,1.1584752798080444
89,1.171075463294983
90,1.1622004508972168
91,1.1708353757858276
92,1.1631219387054443
93,1.153562307357788
94,1.1604602336883545
95,1.1607455015182495
96,1.1538130044937134
97,1.1523464918136597
98,1.1534719467163086
99,1.1567496061325073
