Depth_m_idx,rmse,nse,rmse_top10,rmse_bot10,rmse_logged,mean_bias,mean_bias_top10,mean_bias_bot10,nse_top10,nse_bot10,nse_logged,kge,variable,partition,rep_id
0.0,0.953253,0.7069,1.362787,1.264433,0.124837,0.04336,-1.214649,0.364122,-4.251636,-0.385941,0.760996,0.829709,DO_mg.L,train,0
0.5,0.954085,0.749235,1.717945,1.122202,0.122353,0.025119,-1.47494,0.359696,-4.337069,-0.090198,0.803805,0.815577,DO_mg.L,train,0
1.0,0.907738,0.773303,1.48654,1.101624,0.119387,0.134216,-1.263347,0.455053,-4.146179,-0.14861,0.820492,0.829189,DO_mg.L,train,0
1.5,0.890673,0.781188,1.339513,1.132509,0.120601,0.210561,-1.088022,0.53759,-3.385533,-0.205084,0.824694,0.836075,DO_mg.L,train,0
2.0,0.905227,0.773411,1.31689,1.195426,0.124304,0.254259,-1.019761,0.600661,-3.000316,-0.427605,0.816709,0.834427,DO_mg.L,train,0
2.5,0.902832,0.782352,1.434055,1.220428,0.124915,0.208461,-1.114741,0.648232,-3.48036,-0.670765,0.822122,0.832572,DO_mg.L,train,0
3.0,0.890493,0.784005,1.612724,1.05862,0.120353,0.062052,-1.237619,0.443873,-3.578745,-0.322813,0.825999,0.836755,DO_mg.L,train,0
3.5,0.923321,0.772117,1.630714,1.239284,inf,0.043214,-1.233468,0.610756,-3.794871,-1.014494,,0.833202,DO_mg.L,train,0
4.0,0.9407,0.77937,1.461472,1.448015,inf,0.048476,-1.058021,0.783471,-4.085771,-1.786814,,0.83996,DO_mg.L,train,0
4.5,0.986481,0.794492,1.216369,1.687375,inf,0.055897,-0.863671,0.988438,-4.208376,-2.555113,,0.837902,DO_mg.L,train,0
5.0,1.042658,0.797333,1.115276,1.839342,inf,0.009864,-0.796816,1.121395,-5.835704,-1.785974,,0.839302,DO_mg.L,train,0
5.5,1.109737,0.797322,1.27154,1.615952,inf,-0.049079,-0.907063,1.048947,-11.593381,-1.219979,,0.845556,DO_mg.L,train,0
6.0,1.201903,0.794042,1.394161,1.5498,inf,-0.054254,-0.887705,1.164503,-23.983219,-1.534339,,0.855418,DO_mg.L,train,0
6.5,1.180635,0.813122,1.431229,1.336105,inf,0.201065,-0.596796,1.008265,-27.870437,-10.97215,,0.886483,DO_mg.L,train,0
7.0,1.072657,0.856587,0.66321,0.970718,inf,0.317893,-0.135339,0.683933,-3.968247,-10621.695806,,0.902797,DO_mg.L,train,0
7.5,0.9526,0.891361,0.469345,0.776922,inf,0.238172,-0.166247,0.485965,-1.209792,-903087.821353,,0.925983,DO_mg.L,train,0
8.0,0.87845,0.910899,0.518529,,inf,0.132078,-0.278414,,-1.251051,,,0.946964,DO_mg.L,train,0
8.5,0.850845,0.918389,0.907717,,inf,0.06721,-0.452739,,-5.569221,,,0.955059,DO_mg.L,train,0
9.0,0.805044,0.928973,0.800216,,inf,0.07117,-0.463111,,-4.925152,,,0.955543,DO_mg.L,train,0
9.5,0.8239,0.926966,0.846869,,inf,0.072156,-0.555399,,-4.757994,,,0.952284,DO_mg.L,train,0
10.0,0.867641,0.91974,0.845466,,inf,0.076082,-0.54511,,-4.201547,,,0.948034,DO_mg.L,train,0
0.0,1.316012,0.323689,2.527807,1.794403,0.146935,-0.126878,-2.273696,1.722354,-5.592463,-73.132427,0.325939,0.368535,DO_mg.L,val,0
0.5,1.271575,0.353402,2.348469,1.867638,0.145268,0.078011,-2.109149,1.808173,-5.870591,-83.717875,0.342994,0.394158,DO_mg.L,val,0
1.0,1.266995,0.334385,2.066995,1.891909,0.148976,0.218211,-1.842113,1.809769,-5.713507,-95.932513,0.310571,0.400238,DO_mg.L,val,0
1.5,1.273796,0.301563,1.933163,1.917806,0.152351,0.313997,-1.713941,1.815314,-6.14876,-84.029464,0.271473,0.400848,DO_mg.L,val,0
2.0,1.29508,0.272459,1.925595,1.988108,0.157078,0.412401,-1.716486,1.853423,-6.73068,-71.917827,0.238318,0.401493,DO_mg.L,val,0
2.5,1.269108,0.294753,1.878366,1.985686,0.154281,0.301182,-1.662538,1.840407,-7.378374,-53.325446,0.266968,0.407146,DO_mg.L,val,0
3.0,1.25205,0.320014,1.915075,1.899738,0.152163,0.184032,-1.735851,1.696478,-11.850906,-28.40514,0.298728,0.422446,DO_mg.L,val,0
3.5,1.243115,0.380717,1.690879,2.101824,0.159923,-0.00417,-1.527893,1.936758,-14.159497,-13.828748,0.347343,0.515093,DO_mg.L,val,0
4.0,1.381942,0.294488,1.69838,1.766518,0.225757,-0.226566,-1.535778,1.000615,-46.809817,-6.477322,-0.062922,0.652367,DO_mg.L,val,0
4.5,1.623858,0.195466,1.701364,2.022177,0.318592,-0.423959,-1.526173,0.324965,-47.836689,-2.554255,-0.333082,0.641433,DO_mg.L,val,0
5.0,1.810033,0.168309,1.916395,2.321285,inf,-0.520487,-1.774808,0.575355,-47.074995,-2.14543,,0.632788,DO_mg.L,val,0
5.5,2.027005,0.095989,2.543341,2.093022,inf,-0.790803,-2.42164,0.756299,-72.783579,-1.270518,,0.606374,DO_mg.L,val,0
6.0,2.232075,0.024154,3.782694,1.774793,inf,-0.984479,-3.487866,0.96389,-176.739866,-2.575745,,0.551802,DO_mg.L,val,0
6.5,2.403943,-0.007048,4.098602,1.66074,0.846023,-1.117796,-3.655367,0.86667,-160.779468,-3.836807,0.118856,0.492228,DO_mg.L,val,0
7.0,2.541943,-0.056572,4.696736,1.43919,inf,-1.0682,-4.294312,0.91364,-103.716342,-3.68761,,0.452953,DO_mg.L,val,0
7.5,2.335867,0.059409,4.136693,1.702105,inf,-0.720802,-3.609752,1.325207,-31.871174,-33.962907,,0.505988,DO_mg.L,val,0
8.0,2.388806,0.037141,4.246153,1.543462,inf,-0.889899,-3.205479,1.02838,-28.753039,-2702.89464,,0.519776,DO_mg.L,val,0
8.5,2.291164,0.155847,4.322077,1.486659,inf,-0.774973,-3.067073,1.063705,-28.552028,-23449.579652,,0.559731,DO_mg.L,val,0
9.0,1.944862,0.390716,3.555292,,inf,-0.450327,-2.122678,,-17.461049,,,0.675475,DO_mg.L,val,0
9.5,1.762862,0.521014,3.218258,,inf,-0.144352,-1.591832,,-14.116668,,,0.757396,DO_mg.L,val,0
10.0,1.649449,0.589712,3.041851,,inf,0.102908,-1.39514,,-12.125602,,,0.792073,DO_mg.L,val,0
