Depth_m_idx,rmse,nse,rmse_top10,rmse_bot10,rmse_logged,mean_bias,mean_bias_top10,mean_bias_bot10,nse_top10,nse_bot10,nse_logged,kge,variable,partition,rep_id,model
9.5,0.930675,0.905541,0.864143,,inf,0.032042,-0.583458,,-3.134154,,,0.92182,DO_mg.L,train,1,rnn
10.0,0.935957,0.906745,0.944826,,inf,0.054799,-0.627128,,-3.671794,,,0.920654,DO_mg.L,train,1,rnn
0.0,0.997107,0.670855,1.589491,1.360682,0.127595,0.029919,-1.378349,0.971918,-3.445853,-0.370473,0.72339,0.742518,DO_mg.L,train,2,rnn
0.5,0.992768,0.711053,1.941717,1.254851,0.124838,0.016349,-1.58556,0.917502,-5.058414,-0.130845,0.76916,0.74234,DO_mg.L,train,2,rnn
1.0,0.949686,0.734226,1.67176,1.242503,0.123787,0.100297,-1.345428,0.881835,-4.76735,-0.153726,0.780958,0.767034,DO_mg.L,train,2,rnn
1.5,0.927755,0.744363,1.534933,1.233703,0.124015,0.154307,-1.178923,0.880998,-4.380871,-0.140111,0.788516,0.786202,DO_mg.L,train,2,rnn
2.0,0.93374,0.739843,1.4702,1.260417,0.126583,0.193769,-1.095821,0.858612,-3.830627,-0.281277,0.782728,0.795848,DO_mg.L,train,2,rnn
2.5,0.917789,0.756034,1.522885,1.240984,0.125028,0.129215,-1.142062,0.786779,-4.289091,-0.356177,0.795933,0.810927,DO_mg.L,train,2,rnn
3.0,0.92149,0.750353,1.556677,1.149251,0.123369,0.022102,-1.193635,0.611506,-3.952308,-0.293112,0.792241,0.821344,DO_mg.L,train,2,rnn
3.5,0.955695,0.739605,1.440762,1.400418,inf,0.037284,-1.064895,0.737286,-3.627226,-1.075616,,0.823813,DO_mg.L,train,2,rnn
4.0,1.032231,0.71749,1.264142,1.664479,inf,0.124535,-0.864834,0.922484,-4.03382,-2.089111,,0.811458,DO_mg.L,train,2,rnn
4.5,1.0668,0.74601,1.142779,1.830564,inf,0.133352,-0.77731,1.194236,-4.874963,-2.687861,,0.808858,DO_mg.L,train,2,rnn
5.0,1.145314,0.743066,1.027605,1.998509,inf,0.103553,-0.727806,1.348454,-5.380918,-1.970275,,0.80328,DO_mg.L,train,2,rnn
5.5,1.217114,0.744205,1.283537,1.80582,inf,0.009666,-0.922801,1.274114,-12.54291,-1.544321,,0.812268,DO_mg.L,train,2,rnn
6.0,1.229656,0.77186,1.410082,1.737846,inf,-0.06746,-0.962118,1.239703,-22.624567,-1.958509,,0.829913,DO_mg.L,train,2,rnn
6.5,1.218824,0.791019,1.256816,1.570415,inf,0.105772,-0.774861,1.158327,-16.740513,-6.474674,,0.847419,DO_mg.L,train,2,rnn
7.0,1.170308,0.820384,1.075391,1.305035,inf,0.19182,-0.586205,0.927336,-9.422254,-845.720638,,0.853535,DO_mg.L,train,2,rnn
