Depth_m_idx,rmse,nse,rmse_top10,rmse_bot10,rmse_logged,mean_bias,mean_bias_top10,mean_bias_bot10,nse_top10,nse_bot10,nse_logged,kge,variable,partition,rep_id,model
0.0,0.973474,0.686272,1.663325,1.156827,0.122561,-0.059748,-1.496898,0.691148,-3.868477,0.00941,0.744787,0.766813,DO_mg.L,train,7,rnn
0.5,0.94877,0.736097,1.844558,1.041248,0.117407,-0.067124,-1.607085,0.676038,-4.467283,0.221377,0.795825,0.765772,DO_mg.L,train,7,rnn
1.0,0.905147,0.75857,1.577349,1.030912,0.115531,0.02853,-1.353474,0.696218,-4.13433,0.205761,0.809199,0.781359,DO_mg.L,train,7,rnn
1.5,0.888507,0.765535,1.502215,1.033291,0.116134,0.09438,-1.227141,0.741937,-4.153921,0.200219,0.81454,0.792221,DO_mg.L,train,7,rnn
2.0,0.903606,0.756364,1.47692,1.106744,0.120398,0.148162,-1.180853,0.804703,-3.874893,0.012109,0.803443,0.793385,DO_mg.L,train,7,rnn
2.5,0.893031,0.769019,1.541493,1.089459,0.120127,0.092582,-1.218976,0.775343,-4.419131,-0.045216,0.811619,0.800067,DO_mg.L,train,7,rnn
3.0,0.901606,0.761011,1.61311,1.018666,0.11928,-0.01638,-1.287996,0.645253,-4.317883,-0.015943,0.805784,0.808008,DO_mg.L,train,7,rnn
3.5,0.94335,0.746289,1.534384,1.20961,inf,-0.019524,-1.186906,0.75511,-4.248128,-0.548539,,0.812946,DO_mg.L,train,7,rnn
4.0,0.972305,0.74934,1.360034,1.338411,inf,0.016718,-1.009219,0.800962,-4.826474,-0.997358,,0.82649,DO_mg.L,train,7,rnn
4.5,1.018568,0.768458,1.208663,1.557616,inf,0.031099,-0.892014,0.944403,-5.5719,-1.670088,,0.831815,DO_mg.L,train,7,rnn
5.0,1.063096,0.778631,1.099256,1.670669,inf,0.00313,-0.824926,1.035639,-6.301784,-1.075704,,0.838889,DO_mg.L,train,7,rnn
5.5,1.121995,0.782624,1.272018,1.4443,inf,-0.03518,-0.932765,0.951871,-12.300908,-0.627562,,0.851596,DO_mg.L,train,7,rnn
6.0,1.17067,0.793222,1.396887,1.480643,inf,-0.021212,-0.896684,0.949803,-22.184505,-1.14759,,0.868413,DO_mg.L,train,7,rnn
6.5,1.256317,0.777964,1.609148,1.321368,inf,0.178577,-0.79304,0.859533,-28.081394,-4.29189,,0.86672,DO_mg.L,train,7,rnn
7.0,1.186561,0.815361,1.182686,1.094285,inf,0.219747,-0.517846,0.674656,-11.605714,-594.328564,,0.876106,DO_mg.L,train,7,rnn
7.5,1.193327,0.819561,0.899993,1.126897,inf,0.16849,-0.519574,0.538226,-4.47644,-8787.503664,,0.881023,DO_mg.L,train,7,rnn
8.0,1.11394,0.848972,0.949565,1.001514,inf,-0.055861,-0.677179,0.493601,-4.273069,-1247862.987093,,0.901696,DO_mg.L,train,7,rnn
8.5,1.098295,0.858258,1.153129,,inf,-0.082892,-0.783137,,-6.533835,,,0.898671,DO_mg.L,train,7,rnn
9.0,1.020175,0.882204,1.065403,,inf,-0.019965,-0.807304,,-6.196321,,,0.903698,DO_mg.L,train,7,rnn
9.5,1.016832,0.887242,1.170786,,inf,0.031763,-0.881428,,-6.588745,,,0.897935,DO_mg.L,train,7,rnn
10.0,1.016278,0.890052,1.26971,,inf,0.067586,-0.953244,,-7.437018,,,0.894256,DO_mg.L,train,7,rnn
