Variable,Importance
WaterTemp_C,70156.65039926794
Depth_m,62257.695563979985
doy,42692.01653201037
DewPoint_C,10350.327901352455
Pressure_hPa,1018.6046546034005
AirTemp_C,548.7294744889164
SWind_m.s,319.04591415592444
WWind_m.s,308.7094192044429
hour_of_day,278.67725936912063
Cloud_cov_fraction,162.09501615533128
