Variable,Importance
doy,76502.44024617512
WaterTemp_C,64005.52006879561
Depth_m,45172.850699555056
SWind_m.s,12489.216034343555
AirTemp_C,10670.107956738528
DewPoint_C,9103.182586149313
Pressure_hPa,4830.76027063562
WWind_m.s,2658.579702654406
hour_of_day,1921.5337185100611
Cloud_cov_fraction,1548.766408205131
