Depth_m,Temp_C,datetime,DO_mg.L
0.5,18.852,2019-04-25T10:00:00Z,9.466
1,18.79,2019-04-25T10:00:00Z,9.473
1.5,18.833,2019-04-25T10:00:00Z,9.481
2,18.832,2019-04-25T10:00:00Z,9.409
2.5,18.818,2019-04-25T10:00:00Z,9.341
3,18.764,2019-04-25T10:00:00Z,9.278
3.5,18.873,2019-04-25T10:00:00Z,9.278
4,18.771,2019-04-25T10:00:00Z,9.272
4.5,18.815,2019-04-25T10:00:00Z,9.276
5,18.85,2019-04-25T10:00:00Z,9.218
5.5,18.77,2019-04-25T10:00:00Z,9.216
6,18.804,2019-04-25T10:00:00Z,9.209
6.5,18.868,2019-04-25T10:00:00Z,9.208
7,18.763,2019-04-25T10:00:00Z,9.205
7.5,18.667,2019-04-25T10:00:00Z,8.984
8,18.266,2019-04-25T10:00:00Z,8.015
8.5,18.143,2019-04-25T10:00:00Z,7.859
9,18.207,2019-04-25T10:00:00Z,7.792
9.5,18.173,2019-04-25T10:00:00Z,7.692
10,17.969,2019-04-25T10:00:00Z,7.489
0,18.76,2019-04-25T12:00:00Z,8.942
0.5,18.818,2019-04-25T12:00:00Z,9.073
1,18.787,2019-04-25T12:00:00Z,9.076
1.5,18.798,2019-04-25T12:00:00Z,9.081
2,18.809,2019-04-25T12:00:00Z,9.02
2.5,18.852,2019-04-25T12:00:00Z,9.021
3,18.866,2019-04-25T12:00:00Z,8.96
3.5,18.8,2019-04-25T12:00:00Z,9.02
4,18.858,2019-04-25T12:00:00Z,9.008
4.5,18.868,2019-04-25T12:00:00Z,9.071
5,18.657,2019-04-25T12:00:00Z,9.005
5.5,18.661,2019-04-25T12:00:00Z,9.01
6,18.673,2019-04-25T12:00:00Z,9.013
6.5,18.689,2019-04-25T12:00:00Z,9.006
7,18.693,2019-04-25T12:00:00Z,8.993
7.5,18.58,2019-04-25T12:00:00Z,8.579
8,18.445,2019-04-25T12:00:00Z,8.194
8.5,18.306,2019-04-25T12:00:00Z,7.852
9,18.157,2019-04-25T12:00:00Z,7.613
9.5,18.069,2019-04-25T12:00:00Z,7.474
10,17.853,2019-04-25T12:00:00Z,7.206
0,18.781,2019-04-25T14:00:00Z,9.267
0.5,18.836,2019-04-25T14:00:00Z,9.331
1,18.874,2019-04-25T14:00:00Z,9.138
1.5,18.786,2019-04-25T14:00:00Z,9.013
2,18.786,2019-04-25T14:00:00Z,8.887
2.5,18.803,2019-04-25T14:00:00Z,8.819
3,18.835,2019-04-25T14:00:00Z,8.886
3.5,18.846,2019-04-25T14:00:00Z,8.95
4,18.848,2019-04-25T14:00:00Z,8.949
4.5,18.855,2019-04-25T14:00:00Z,8.945
5,18.754,2019-04-25T14:00:00Z,8.877
5.5,18.651,2019-04-25T14:00:00Z,8.937
6,18.746,2019-04-25T14:00:00Z,8.924
6.5,18.72,2019-04-25T14:00:00Z,8.849
7,18.749,2019-04-25T14:00:00Z,8.7
7.5,18.565,2019-04-25T14:00:00Z,8.477
8,18.459,2019-04-25T14:00:00Z,8.168
8.5,18.266,2019-04-25T14:00:00Z,7.845
9,18.094,2019-04-25T14:00:00Z,7.542
9.5,17.913,2019-04-25T14:00:00Z,7.37
10,17.768,2019-04-25T14:00:00Z,7.137
0,19.506,2019-04-25T16:00:00Z,10.401
0.5,19.246,2019-04-25T16:00:00Z,10.617
1,19.095,2019-04-25T16:00:00Z,10.468
1.5,19.118,2019-04-25T16:00:00Z,10.41
2,18.897,2019-04-25T16:00:00Z,10.19
2.5,18.776,2019-04-25T16:00:00Z,9.547
3,18.673,2019-04-25T16:00:00Z,9.141
3.5,18.746,2019-04-25T16:00:00Z,8.991
