Date,Time,Site,Station_ID,Depth_TMB,Depth_m,Comments,chla_ug.L,TSS_mg.L,VSS_mg.L,TDS_mg.L,NH4_mg.L,Nox_mg.L,TKN_mg.L,TP_mg.L,DOPO4_mg.L,TOC_mg.L,DOC_mg.L,Alkalinity_mg.L,Cl_mg.L,SO4_mg.L,Tfe_ug.L,TMn_ug.L,DMn_ug.L,Ca_mg.L,Mg_mg.L,Na_mg.L,K_mg.L,As_ug.L,Tsi_mg.L,Dsi_mg.L,Algae_cells.mL,Br_mg.L,Ecoli_MPN,FecalCol.100mL,TTHMFP_uM,Dfe_ug.L,DMn_ug.L,Pb_ug.L,STKN_mg.L,DTP_mg.L,TOPOO4_mg.L,CBOD5_mg.L,BOD20_mg.L,VSS_mg.L_alt,NO3_mg.L,NO2_mg.L,Si_mg.L,Color_mg.L,pH,SBFP,SolP.P_mg.L
06/04/1992,,RC-06,15199,T,,,9.8,89.8,,236,0.09,0.64,0.79,0.18,0.06,6.56,5.01,125,,,,,,,,,,,,,,,,239,,20,<10,<50,0.38,,,,,,,,,,,,
06/04/1992,,RC-06,15199,B,,,7.3,122,,227,0.12,0.65,0.91,0.24,0.06,6.93,4.9,119,,,,,,,,,,,,,,,,177,,100,<10,<50,0.39,,,,,,,,,,,,
08/19/1992,,RC-01,15168,T,,,10.4,2,,158,0.025,0.005,0.4,0.03,0.02,4.6,3.92,97.1,,,,,,,,,,,,,,,,0,,130,<10,<5,0.21,,,,,,,,,,,,
08/19/1992,,RC-01,15168,B,,,1.8,2,,191,0.62,0.005,0.93,0.25,0.15,4.87,4.42,130,,,,,,,,,,,,,,,,0,,350,820,<5,0.72,,,,,,,,,,,,
08/19/1992,,RC-02,15169,T,,,7.6,2,,183,0.09,0.005,0.53,0.03,0.02,4.83,4.1,97.1,,,,,,,,,,,,,,,,,,20,<10,<5,0.22,,,,,,,,,,,,
08/19/1992,,RC-02,15169,B,,,2.9,9.1,,199,0.59,0.005,0.93,0.35,0.15,5.33,4.33,131,,,,,,,,,,,,,,,,0,,280,1080,<5,0.91,,,,,,,,,,,,
08/19/1992,,RC-03,11068,T,,,11.1,5.9,,177,0.08,0.01,0.51,0.05,0.03,4.86,4.17,99.8,,,,,,,,,,,,,,,,2,,20,<10,<5,0.3,,,,,,,,,,,,
08/19/1992,,RC-03,11068,B,,,6.2,13.5,,199,1.27,0.005,1.93,0.62,0.25,6.57,5.53,138,,,,,,,,,,,,,,,,28,,330,1290,<5,1.45,,,,,,,,,,,,
08/19/1992,,RC-04,15172,T,,,12.5,10.7,,190,0.07,0.005,0.63,0.06,0.03,5.74,4.9,112,,,,,,,,,,,,,,,,0,,10,<10,<5,0.27,,,,,,,,,,,,
08/19/1992,,RC-04,15172,B,,,18.7,12.8,,181,0.025,0.005,0.7,0.07,0.03,5.99,4.76,113,,,,,,,,,,,,,,,,0,,10,<10,<5,0.34,,,,,,,,,,,,
08/19/1992,,RC-05,15170,T,,,15.6,6.1,,181,0.025,0.01,0.44,0.04,0.02,6.17,4.05,97.5,12,26.5,,,,38.5,3.22,14.1,4.37,,,,2620,,,0,0.95,10,<10,<5,0.25,,,,,,,,,,,,
