Variable,Importance
Depth_m,89857.09786523014
WaterTemp_C,61900.85584146548
doy,43668.87217014551
SWind_m.s,14137.1349133804
Pressure_hPa,8377.148740479832
DewPoint_C,7281.2915271417205
AirTemp_C,4641.123638058033
WWind_m.s,3650.4615592786176
hour_of_day,3196.9441970124376
Cloud_cov_fraction,1332.4488646069408
