Variable,Importance
Depth_m,102772.71573240819
doy,37805.96702290191
WaterTemp_C,22926.597945124347
DewPoint_C,8031.427876286873
AirTemp_C,2292.1125648955044
Pressure_hPa,1706.1599170724662
SWind_m.s,1229.340105660101
WWind_m.s,767.3292276924201
hour_of_day,338.3631655509058
Cloud_cov_fraction,310.6844350046249
