Depth_m,Temp_C,datetime,DO_mg.L
7,8.653,2021-03-23T01:00:00Z,6.812
7.5,8.541,2021-03-23T01:00:00Z,6.406
8,8.268,2021-03-23T01:00:00Z,5.285
8.5,8.193,2021-03-23T01:00:00Z,5.237
0,13.482,2021-03-23T03:00:00Z,10.194
0.5,13.458,2021-03-23T03:00:00Z,10.2
1,13.419,2021-03-23T03:00:00Z,10.261
1.5,13.392,2021-03-23T03:00:00Z,10.277
2,13.392,2021-03-23T03:00:00Z,10.292
2.5,13.414,2021-03-23T03:00:00Z,10.279
3,13.38,2021-03-23T03:00:00Z,10.276
3.5,13.387,2021-03-23T03:00:00Z,10.279
4,13.411,2021-03-23T03:00:00Z,10.287
4.5,12.928,2021-03-23T03:00:00Z,9.627
5,11.939,2021-03-23T03:00:00Z,8.472
5.5,10.851,2021-03-23T03:00:00Z,7.618
6,10.164,2021-03-23T03:00:00Z,6.722
6.5,9.652,2021-03-23T03:00:00Z,6.795
7,9.173,2021-03-23T03:00:00Z,6.909
7.5,8.731,2021-03-23T03:00:00Z,6.884
8,8.558,2021-03-23T03:00:00Z,6.489
8.5,8.37,2021-03-23T03:00:00Z,6.056
0,13.36,2021-03-23T05:00:00Z,10.236
0.5,13.369,2021-03-23T05:00:00Z,10.233
1,13.339,2021-03-23T05:00:00Z,10.249
1.5,13.352,2021-03-23T05:00:00Z,10.282
2,13.316,2021-03-23T05:00:00Z,10.216
2.5,13.352,2021-03-23T05:00:00Z,10.271
3,13.323,2021-03-23T05:00:00Z,10.269
3.5,13.341,2021-03-23T05:00:00Z,10.196
4,13.252,2021-03-23T05:00:00Z,10.227
4.5,12.757,2021-03-23T05:00:00Z,9.19
5,11.108,2021-03-23T05:00:00Z,8.131
5.5,10.921,2021-03-23T05:00:00Z,7.996
6,10.661,2021-03-23T05:00:00Z,7.521
6.5,10.185,2021-03-23T05:00:00Z,6.797
7,9.481,2021-03-23T05:00:00Z,6.777
7.5,8.944,2021-03-23T05:00:00Z,6.441
8,8.671,2021-03-23T05:00:00Z,6.714
8.5,8.37,2021-03-23T05:00:00Z,5.651
0,13.317,2021-03-23T07:00:00Z,10.23
0.5,13.321,2021-03-23T07:00:00Z,10.224
1,13.316,2021-03-23T07:00:00Z,10.195
1.5,13.289,2021-03-23T07:00:00Z,10.184
2,13.261,2021-03-23T07:00:00Z,10.18
2.5,13.311,2021-03-23T07:00:00Z,10.099
3,13.295,2021-03-23T07:00:00Z,10.048
3.5,13.221,2021-03-23T07:00:00Z,10.016
4,13.171,2021-03-23T07:00:00Z,9.922
4.5,11.66,2021-03-23T07:00:00Z,8.471
5,11.246,2021-03-23T07:00:00Z,8.104
5.5,10.965,2021-03-23T07:00:00Z,7.762
6,10.656,2021-03-23T07:00:00Z,7.432
6.5,10.355,2021-03-23T07:00:00Z,6.926
7,9.653,2021-03-23T07:00:00Z,6.507
7.5,8.777,2021-03-23T07:00:00Z,6.47
8,8.324,2021-03-23T07:00:00Z,5.714
8.5,8.292,2021-03-23T07:00:00Z,5.105
0,13.247,2021-03-23T09:00:00Z,10.1
0.5,13.238,2021-03-23T09:00:00Z,10.096
1,13.229,2021-03-23T09:00:00Z,10.122
1.5,13.206,2021-03-23T09:00:00Z,10.11
2,13.202,2021-03-23T09:00:00Z,10.118
2.5,13.194,2021-03-23T09:00:00Z,10.084
3,13.085,2021-03-23T09:00:00Z,9.936
3.5,12.793,2021-03-23T09:00:00Z,9.064
4,11.832,2021-03-23T09:00:00Z,8.442
4.5,11.364,2021-03-23T09:00:00Z,8.257
5,10.983,2021-03-23T09:00:00Z,7.667
5.5,10.904,2021-03-23T09:00:00Z,7.599
6,10.645,2021-03-23T09:00:00Z,7.478
6.5,9.905,2021-03-23T09:00:00Z,6.574
7,9.203,2021-03-23T09:00:00Z,6.412
7.5,8.512,2021-03-23T09:00:00Z,5.975
8,8.384,2021-03-23T09:00:00Z,5.753
8.5,8.369,2021-03-23T09:00:00Z,5.473
0,13.249,2021-03-23T11:00:00Z,10.282
0.5,13.229,2021-03-23T11:00:00Z,10.148
1,13.25,2021-03-23T11:00:00Z,10.209
1.5,13.235,2021-03-23T11:00:00Z,10.175
2,13.146,2021-03-23T11:00:00Z,9.938
2.5,12.168,2021-03-23T11:00:00Z,8.796
3,11.805,2021-03-23T11:00:00Z,8.523
3.5,11.619,2021-03-23T11:00:00Z,8.267
4,11.418,2021-03-23T11:00:00Z,8.113
4.5,11.296,2021-03-23T11:00:00Z,8.017
5,11.095,2021-03-23T11:00:00Z,7.815
5.5,10.945,2021-03-23T11:00:00Z,7.901
6,10.953,2021-03-23T11:00:00Z,7.411
6.5,10.288,2021-03-23T11:00:00Z,6.886
7,9.198,2021-03-23T11:00:00Z,6.325
7.5,8.474,2021-03-23T11:00:00Z,5.813
8,8.354,2021-03-23T11:00:00Z,5.385
8.5,8.303,2021-03-23T11:00:00Z,4.951
0,13.173,2021-03-23T13:00:00Z,10.072
0.5,13.156,2021-03-23T13:00:00Z,10.125
1,13.11,2021-03-23T13:00:00Z,10.122
1.5,12.967,2021-03-23T13:00:00Z,9.965
2,12.773,2021-03-23T13:00:00Z,9.655
2.5,12.145,2021-03-23T13:00:00Z,8.885
3,11.984,2021-03-23T13:00:00Z,8.559
3.5,11.831,2021-03-23T13:00:00Z,8.49
