none,doy,hour_of_day,Depth_m,WaterTemp_C,Cloud_cov_fraction,DewPoint_C,AirTemp_C,Pressure_hPa,WWind_m.s,SWind_m.s,Datetime,val_period,Depth_m_raw,group_number
4.549716109009606,1.1357914488044094,-0.17350459624453274,4.384208839364003,2.135951722946877,-0.14223340742872637,-0.05389340630421957,-0.16945528436256874,-0.018487378055416892,-0.26760412182904036,-0.3129768997595357,2021-09-17 01:00:00,10,0,1
4.549716141425715,1.0820384470511943,-0.18732864920243553,4.280734756290709,1.9242516697903604,-0.13595483768861616,-0.11897486001954749,0.030096155432383087,-0.07732636747992583,-0.2590279344087929,-0.2716194289359346,2021-09-17 03:00:00,10,0,1
4.549716198519824,0.9051736077971629,-0.21968226795520351,4.129943577377482,1.6513098178755825,-0.12522015352067828,0.013176597348829588,0.019786191775400086,-0.040559745374426415,-0.2541636162590306,-0.27310864054113804,2021-09-17 05:00:00,10,0,1
4.549716247106339,0.8161709054527635,-0.010012245681730203,4.2516119310122,2.261521162851145,0.14827135369099398,0.27635184484463104,-0.09701907863536863,-0.276765200958077,-0.2783963143810029,-0.3218766124958983,2021-09-17 23:00:00,10,0,1
4.549716133353366,1.2998351397047592,-0.18483532450719986,4.215944489181539,2.1223552566969657,-0.14945199397432174,0.04583755938062195,-0.11335246959543932,-0.3292480503565911,-0.24980446305544057,-0.27842086801451726,2021-09-18 01:00:00,10,0,1
4.549716163421209,1.1763245877958366,-0.18592671092281887,4.208431095703735,1.984488973301055,-0.1406433025922924,-0.1709073095626421,0.017975356307595947,-0.20324441486974232,-0.23962356490937964,-0.2524156350082314,2021-09-18 03:00:00,10,0,1
4.549716186473689,1.1078238736494446,-0.30262233546622674,4.1962881476377305,1.5935985269610047,-0.1372259924107011,-0.17515310218936198,0.006280794488988217,-0.15521829919837793,-0.233697149866269,-0.26753369783561465,2021-09-18 05:00:00,10,0,1
4.549716346827476,0.7188290812677232,-0.02949969532349095,4.199258917326892,2.683147893863301,-0.22153546896512077,-0.1559764198610094,-0.49843489098581384,0.01654230017527447,0.1585057108723783,-0.11949236470008207,2021-09-19 21:00:00,10,0,1
4.54971630602596,0.8493552088387339,-0.12034014608349808,4.226816371692261,2.5773746509387996,-0.23542260640685742,-0.1939459208697747,-0.4517714829288668,0.12212543889355776,0.248353616844595,-0.2053497011915426,2021-09-19 23:00:00,10,0,1
4.549716177488379,1.1078192939310498,-0.21408265230619272,4.262012677988272,2.3737096125956683,-0.1516813020214134,-0.23229691477024206,-0.15059764115246033,0.2549386176523314,-0.2807511780937919,-0.332659605927329,2021-09-20 01:00:00,10,0,1
4.549716238226816,0.8487766644954017,-0.27260538152740876,4.310829040514574,2.3136819676641585,-0.2007446659621832,-0.360238247886858,-0.20200226531170795,0.18574560356361314,0.12056649009182796,-0.15616785705207592,2021-09-20 03:00:00,10,0,2
4.549716286568954,0.5309683570029691,-0.32321764748573045,4.372420579088356,2.20314591485658,-0.22869944612821858,-0.3786476388638076,-0.1975509060893128,0.11785013199102023,0.3095571780943467,-0.06640279698804208,2021-09-20 05:00:00,10,0,2
4.549716402106564,0.4394857038175428,0.12975971653572516,4.363827128904598,2.154745267239311,-0.1988747679735854,-0.09040358001312154,-0.10600664063647036,-0.07799579325429451,-0.20828621801810665,0.12442050948380712,2021-09-20 19:00:00,10,0,2
4.549716486547228,0.28779797959618403,-0.04889900797968494,4.214757836659574,2.464705515714609,-0.21918326067988603,-0.11221983157689785,-0.20859703956749942,0.16514025638880792,0.010536554159670697,0.08510068745455035,2021-09-20 21:00:00,10,0,2
4.54971635037442,0.8467379910353894,-0.14446207819502033,4.219713066153706,2.4140120630925974,-0.25400507763013236,-0.12964028115816362,-0.14294077665978033,0.24892376750164202,0.08362517782092849,-0.27172629009987315,2021-09-20 23:00:00,10,0,2
4.549716256721439,0.6164319765475119,-0.23060915832578366,4.401094841036346,2.2117005764192843,-0.1978038466380425,-0.08158445801772363,-0.3301750131522001,0.06484809161825011,0.1217021288862955,-0.1747788420382126,2021-09-21 01:00:00,10,0,2
4.549716358441785,0.03819607268677383,-0.29291740816016687,4.307874922146667,2.179675926243461,0.26729726860914504,-0.42521900605970875,-0.3250045328704374,-0.10095289112877825,0.27811905838827755,0.07931853642745401,2021-09-21 03:00:00,10,0,2
4.54971641193435,0.3908505379668098,-0.07769327853398522,3.846643013575977,1.837330484588985,0.0896460513934767,-0.46260628711565976,-0.42046343848863144,0.11224790104285898,-0.10654735302801566,0.786365529175389,2021-09-21 05:00:00,10,0,2
4.549716559347261,0.3311327617517037,0.09980739319437204,3.7167936234664616,0.7031672170673986,-0.1505848946234064,0.3497564082713429,-0.11389879027241445,0.056861177605021185,-0.24238576787587707,0.4833140780870419,2021-09-21 19:00:00,10,0,2
4.54971660090803,-0.245627470712795,0.07970106427469725,3.9903390409826884,0.17699709700149124,-0.11344453708553048,0.5916526019397774,-0.2844886765424386,0.19345819084769167,-0.04640643274001832,0.510909768903735,2021-09-21 21:00:00,10,0,2
4.549716632675451,-0.5198179099057444,0.09279774796360007,3.9682762075006655,0.2516775133731305,-0.15245371730025836,0.602477037402839,0.1123745152208967,0.6456201245381605,-0.2116463941702491,0.04311101031830311,2021-09-21 23:00:00,10,0,3
4.549716673875271,-0.6923895222819372,-0.40653326209800855,3.8950793603221423,0.2391351722486218,-0.1870171117466244,0.5500073950597097,0.09470039131414953,1.1561398399858358,-0.2552740791812772,0.092840948653088,2021-09-22 01:00:00,10,0,3
